Ref_Date,GEO,Geographical classification,DON,Vector,Coordinate,Value
2011,Canada,,Number of taxfilers,v16942664,1.1,25869670
2012,Canada,,Number of taxfilers,v16942664,1.1,26155710
2011,Canada,,Percentage of taxfilers aged 0 to 24 years,v16942666,1.3,12
2012,Canada,,Percentage of taxfilers aged 0 to 24 years,v16942666,1.3,12
2011,Canada,,Percentage of taxfilers aged 25 to 44 years,v16942667,1.4,33
2012,Canada,,Percentage of taxfilers aged 25 to 44 years,v16942667,1.4,33
2011,Canada,,Percentage of taxfilers aged 45 to 64 years,v16942668,1.5,36
2012,Canada,,Percentage of taxfilers aged 45 to 64 years,v16942668,1.5,35
2011,Canada,,Percentage of taxfilers aged 65 years and over,v16942669,1.6,19
2012,Canada,,Percentage of taxfilers aged 65 years and over,v16942669,1.6,20
2011,Canada,,Average age of taxfilers (years),v16942670,1.7,47
2012,Canada,,Average age of taxfilers (years),v16942670,1.7,48
2011,Canada,,"Percentage of taxfilers, female",v16942671,1.8,52
2012,Canada,,"Percentage of taxfilers, female",v16942671,1.8,52
2011,Canada,,"Percentage of taxfilers, married",v16942672,1.9,49
2012,Canada,,"Percentage of taxfilers, married",v16942672,1.9,48
2011,Canada,,Percentage of taxfilers in apartments,v16942673,1.1,9
2012,Canada,,Percentage of taxfilers in apartments,v16942673,1.1,9
2011,Canada,,Number of persons,v16942674,1.11,33087940
2012,Canada,,Number of persons,v16942674,1.11,33399630
2011,Canada,,Percentage of persons aged 0 to 24 years,v16942676,1.13,30
2012,Canada,,Percentage of persons aged 0 to 24 years,v16942676,1.13,30
2011,Canada,,Percentage of persons aged 25 to 44 years,v16942677,1.14,27
2012,Canada,,Percentage of persons aged 25 to 44 years,v16942677,1.14,27
2011,Canada,,Percentage of persons aged 45 to 64 years,v16942678,1.15,28
2012,Canada,,Percentage of persons aged 45 to 64 years,v16942678,1.15,28
2011,Canada,,Percentage of persons aged 65 years and over,v16942679,1.16,15
2012,Canada,,Percentage of persons aged 65 years and over,v16942679,1.16,15
2011,Canada,,Average age of persons (years),v16942680,1.17,39
2012,Canada,,Average age of persons (years),v16942680,1.17,39
2011,Canada,,"Percentage of persons, female",v16942681,1.18,51
2012,Canada,,"Percentage of persons, female",v16942681,1.18,51
2011,Canada,,"Percentage of persons, married",v16942682,1.19,39
2012,Canada,,"Percentage of persons, married",v16942682,1.19,39
2011,Canada,,Percentage of persons in apartments,v16942683,1.2,9
2012,Canada,,Percentage of persons in apartments,v16942683,1.2,9
2011,Canada,,Number of persons with total income,v16942684,1.21,25599300
2012,Canada,,Number of persons with total income,v16942684,1.21,25797510
2011,Canada,,"Percentage of persons with total income $15,000 and over",v16942685,1.22,75
2012,Canada,,"Percentage of persons with total income $15,000 and over",v16942685,1.22,76
2011,Canada,,"Percentage of persons with total income $25,000 and over",v16942686,1.23,57
2012,Canada,,"Percentage of persons with total income $25,000 and over",v16942686,1.23,58
2011,Canada,,"Percentage of persons with total income $35,000 and over",v16942687,1.24,44
2012,Canada,,"Percentage of persons with total income $35,000 and over",v16942687,1.24,46
2011,Canada,,"Percentage of persons with total income $50,000 and over",v16942688,1.25,28
2012,Canada,,"Percentage of persons with total income $50,000 and over",v16942688,1.25,29
2011,Canada,,"Percentage of persons with total income $75,000 and over",v16942689,1.26,13
2012,Canada,,"Percentage of persons with total income $75,000 and over",v16942689,1.26,14
2011,Canada,,"Percentage of persons with total income $100,000 and over",v16942690,1.27,6
2012,Canada,,"Percentage of persons with total income $100,000 and over",v16942690,1.27,7
2011,Canada,,"Median total income, males (dollars)",v16942691,1.28,37150
2012,Canada,,"Median total income, males (dollars)",v16942691,1.28,38480
2011,Canada,,"Median total income, females (dollars)",v16942692,1.29,24830
2012,Canada,,"Median total income, females (dollars)",v16942692,1.29,25800
2011,Canada,,"Median total income, both sexes (dollars)",v16942693,1.3,30180
2012,Canada,,"Median total income, both sexes (dollars)",v16942693,1.3,31320
2011,Canada,,Canadian index of median total income,v16942694,1.31,100
2012,Canada,,Canadian index of median total income,v16942694,1.31,100
2011,Canada,,Number of persons reporting employment income and/or Employment Insurance,v16942697,1.34,18927980
2012,Canada,,Number of persons reporting employment income and/or Employment Insurance,v16942697,1.34,19074730
2011,Canada,,Percentage of females reporting employment income and/or Employment Insurance,v16942698,1.35,48
2012,Canada,,Percentage of females reporting employment income and/or Employment Insurance,v16942698,1.35,48
2011,Canada,,Percentage of persons with labour income receiving Employment Insurance,v16942699,1.36,14
2012,Canada,,Percentage of persons with labour income receiving Employment Insurance,v16942699,1.36,13
2011,Canada,,"Median employment income, males (dollars)",v16942700,1.37,36510
2012,Canada,,"Median employment income, males (dollars)",v16942700,1.37,37800
2011,Canada,,"Median employment income, females (dollars)",v16942701,1.38,25640
2012,Canada,,"Median employment income, females (dollars)",v16942701,1.38,26420
2011,Canada,,"Median employment income, both sexes (dollars)",v16942702,1.39,30640
2012,Canada,,"Median employment income, both sexes (dollars)",v16942702,1.39,31660
2011,Canada,,Number of persons reporting Canada Child Tax Benefits,v16942703,1.4,3766060
2012,Canada,,Number of persons reporting Canada Child Tax Benefits,v16942703,1.4,3744690
2011,Canada,,"Amount for persons reporting Canada Child Tax Benefits (Dollars) (dollars x 1,000)",v16942704,1.41,12734665
2012,Canada,,"Amount for persons reporting Canada Child Tax Benefits (Dollars) (dollars x 1,000)",v16942704,1.41,12938725
2011,Newfoundland and Labrador,,Number of taxfilers,v16942705,2.1,418020
2012,Newfoundland and Labrador,,Number of taxfilers,v16942705,2.1,419820
2011,Newfoundland and Labrador,,Percentage of taxfilers aged 0 to 24 years,v16942707,2.3,11
2012,Newfoundland and Labrador,,Percentage of taxfilers aged 0 to 24 years,v16942707,2.3,11
2011,Newfoundland and Labrador,,Percentage of taxfilers aged 25 to 44 years,v16942708,2.4,31
2012,Newfoundland and Labrador,,Percentage of taxfilers aged 25 to 44 years,v16942708,2.4,30
2011,Newfoundland and Labrador,,Percentage of taxfilers aged 45 to 64 years,v16942709,2.5,39
2012,Newfoundland and Labrador,,Percentage of taxfilers aged 45 to 64 years,v16942709,2.5,38
2011,Newfoundland and Labrador,,Percentage of taxfilers aged 65 years and over,v16942710,2.6,20
2012,Newfoundland and Labrador,,Percentage of taxfilers aged 65 years and over,v16942710,2.6,21
2011,Newfoundland and Labrador,,Average age of taxfilers (years),v16942711,2.7,49
2012,Newfoundland and Labrador,,Average age of taxfilers (years),v16942711,2.7,49
2011,Newfoundland and Labrador,,"Percentage of taxfilers, female",v16942712,2.8,52
2012,Newfoundland and Labrador,,"Percentage of taxfilers, female",v16942712,2.8,52
2011,Newfoundland and Labrador,,"Percentage of taxfilers, married",v16942713,2.9,53
2012,Newfoundland and Labrador,,"Percentage of taxfilers, married",v16942713,2.9,53
2011,Newfoundland and Labrador,,Percentage of taxfilers in apartments,v16942714,2.1,1
2012,Newfoundland and Labrador,,Percentage of taxfilers in apartments,v16942714,2.1,1
2011,Newfoundland and Labrador,,Number of persons,v16942715,2.11,512900
2012,Newfoundland and Labrador,,Number of persons,v16942715,2.11,513500
2011,Newfoundland and Labrador,,Percentage of persons aged 0 to 24 years,v16942717,2.13,27
2012,Newfoundland and Labrador,,Percentage of persons aged 0 to 24 years,v16942717,2.13,26
2011,Newfoundland and Labrador,,Percentage of persons aged 25 to 44 years,v16942718,2.14,25
2012,Newfoundland and Labrador,,Percentage of persons aged 25 to 44 years,v16942718,2.14,25
2011,Newfoundland and Labrador,,Percentage of persons aged 45 to 64 years,v16942719,2.15,32
2012,Newfoundland and Labrador,,Percentage of persons aged 45 to 64 years,v16942719,2.15,32
2011,Newfoundland and Labrador,,Percentage of persons aged 65 years and over,v16942720,2.16,16
2012,Newfoundland and Labrador,,Percentage of persons aged 65 years and over,v16942720,2.16,17
2011,Newfoundland and Labrador,,Average age of persons (years),v16942721,2.17,41
2012,Newfoundland and Labrador,,Average age of persons (years),v16942721,2.17,42
2011,Newfoundland and Labrador,,"Percentage of persons, female",v16942722,2.18,51
2012,Newfoundland and Labrador,,"Percentage of persons, female",v16942722,2.18,51
2011,Newfoundland and Labrador,,"Percentage of persons, married",v16942723,2.19,44
2012,Newfoundland and Labrador,,"Percentage of persons, married",v16942723,2.19,44
2011,Newfoundland and Labrador,,Percentage of persons in apartments,v16942724,2.2,1
2012,Newfoundland and Labrador,,Percentage of persons in apartments,v16942724,2.2,1
2011,Newfoundland and Labrador,,Number of persons with total income,v16942725,2.21,414280
2012,Newfoundland and Labrador,,Number of persons with total income,v16942725,2.21,416080
2011,Newfoundland and Labrador,,"Percentage of persons with total income $15,000 and over",v16942726,2.22,76
2012,Newfoundland and Labrador,,"Percentage of persons with total income $15,000 and over",v16942726,2.22,77
2011,Newfoundland and Labrador,,"Percentage of persons with total income $25,000 and over",v16942727,2.23,54
2012,Newfoundland and Labrador,,"Percentage of persons with total income $25,000 and over",v16942727,2.23,56
2011,Newfoundland and Labrador,,"Percentage of persons with total income $35,000 and over",v16942728,2.24,39
2012,Newfoundland and Labrador,,"Percentage of persons with total income $35,000 and over",v16942728,2.24,41
2011,Newfoundland and Labrador,,"Percentage of persons with total income $50,000 and over",v16942729,2.25,24
2012,Newfoundland and Labrador,,"Percentage of persons with total income $50,000 and over",v16942729,2.25,26
2011,Newfoundland and Labrador,,"Percentage of persons with total income $75,000 and over",v16942730,2.26,12
2012,Newfoundland and Labrador,,"Percentage of persons with total income $75,000 and over",v16942730,2.26,13
2011,Newfoundland and Labrador,,"Percentage of persons with total income $100,000 and over",v16942731,2.27,5
2012,Newfoundland and Labrador,,"Percentage of persons with total income $100,000 and over",v16942731,2.27,6
2011,Newfoundland and Labrador,,"Median total income, males (dollars)",v16942732,2.28,34820
2012,Newfoundland and Labrador,,"Median total income, males (dollars)",v16942732,2.28,37020
2011,Newfoundland and Labrador,,"Median total income, females (dollars)",v16942733,2.29,21840
2012,Newfoundland and Labrador,,"Median total income, females (dollars)",v16942733,2.29,22700
2011,Newfoundland and Labrador,,"Median total income, both sexes (dollars)",v16942734,2.3,27170
2012,Newfoundland and Labrador,,"Median total income, both sexes (dollars)",v16942734,2.3,28580
2011,Newfoundland and Labrador,,Canadian index of median total income,v16942735,2.31,90
2012,Newfoundland and Labrador,,Canadian index of median total income,v16942735,2.31,91.3
2011,Newfoundland and Labrador,,Provincial index of median total income,v16942736,2.32,100
2012,Newfoundland and Labrador,,Provincial index of median total income,v16942736,2.32,100
2011,Newfoundland and Labrador,,Number of persons reporting employment income and/or Employment Insurance,v16942738,2.34,297310
2012,Newfoundland and Labrador,,Number of persons reporting employment income and/or Employment Insurance,v16942738,2.34,297090
2011,Newfoundland and Labrador,,Percentage of females reporting employment income and/or Employment Insurance,v16942739,2.35,48
2012,Newfoundland and Labrador,,Percentage of females reporting employment income and/or Employment Insurance,v16942739,2.35,48
2011,Newfoundland and Labrador,,Percentage of persons with labour income receiving Employment Insurance,v16942740,2.36,33
2012,Newfoundland and Labrador,,Percentage of persons with labour income receiving Employment Insurance,v16942740,2.36,32
2011,Newfoundland and Labrador,,"Median employment income, males (dollars)",v16942741,2.37,33930
2012,Newfoundland and Labrador,,"Median employment income, males (dollars)",v16942741,2.37,37160
2011,Newfoundland and Labrador,,"Median employment income, females (dollars)",v16942742,2.38,21100
2012,Newfoundland and Labrador,,"Median employment income, females (dollars)",v16942742,2.38,22410
2011,Newfoundland and Labrador,,"Median employment income, both sexes (dollars)",v16942743,2.39,26530
2012,Newfoundland and Labrador,,"Median employment income, both sexes (dollars)",v16942743,2.39,28740
2011,Newfoundland and Labrador,,Number of persons reporting Canada Child Tax Benefits,v16942744,2.4,56070
2012,Newfoundland and Labrador,,Number of persons reporting Canada Child Tax Benefits,v16942744,2.4,54330
2011,Newfoundland and Labrador,,"Amount for persons reporting Canada Child Tax Benefits (Dollars) (dollars x 1,000)",v16942745,2.41,178835
2012,Newfoundland and Labrador,,"Amount for persons reporting Canada Child Tax Benefits (Dollars) (dollars x 1,000)",v16942745,2.41,177640
2011,"St. John's, Newfoundland and Labrador",10001,Number of taxfilers,v16942746,3.1,152010
2012,"St. John's, Newfoundland and Labrador",10001,Number of taxfilers,v16942746,3.1,154170
2011,"St. John's, Newfoundland and Labrador",10001,Percentage of taxfilers aged 0 to 24 years,v16942748,3.3,12
2012,"St. John's, Newfoundland and Labrador",10001,Percentage of taxfilers aged 0 to 24 years,v16942748,3.3,12
2011,"St. John's, Newfoundland and Labrador",10001,Percentage of taxfilers aged 25 to 44 years,v16942749,3.4,36
2012,"St. John's, Newfoundland and Labrador",10001,Percentage of taxfilers aged 25 to 44 years,v16942749,3.4,36
2011,"St. John's, Newfoundland and Labrador",10001,Percentage of taxfilers aged 45 to 64 years,v16942750,3.5,36
2012,"St. John's, Newfoundland and Labrador",10001,Percentage of taxfilers aged 45 to 64 years,v16942750,3.5,35
2011,"St. John's, Newfoundland and Labrador",10001,Percentage of taxfilers aged 65 years and over,v16942751,3.6,16
2012,"St. John's, Newfoundland and Labrador",10001,Percentage of taxfilers aged 65 years and over,v16942751,3.6,17
2011,"St. John's, Newfoundland and Labrador",10001,Average age of taxfilers (years),v16942752,3.7,46
2012,"St. John's, Newfoundland and Labrador",10001,Average age of taxfilers (years),v16942752,3.7,46
2011,"St. John's, Newfoundland and Labrador",10001,"Percentage of taxfilers, female",v16942753,3.8,53
2012,"St. John's, Newfoundland and Labrador",10001,"Percentage of taxfilers, female",v16942753,3.8,52
2011,"St. John's, Newfoundland and Labrador",10001,"Percentage of taxfilers, married",v16942754,3.9,50
2012,"St. John's, Newfoundland and Labrador",10001,"Percentage of taxfilers, married",v16942754,3.9,49
2011,"St. John's, Newfoundland and Labrador",10001,Percentage of taxfilers in apartments,v16942755,3.1,2
2012,"St. John's, Newfoundland and Labrador",10001,Percentage of taxfilers in apartments,v16942755,3.1,2
2011,"St. John's, Newfoundland and Labrador",10001,Number of persons,v16942756,3.11,189160
2012,"St. John's, Newfoundland and Labrador",10001,Number of persons,v16942756,3.11,191580
2011,"St. John's, Newfoundland and Labrador",10001,Percentage of persons aged 0 to 24 years,v16942758,3.13,29
2012,"St. John's, Newfoundland and Labrador",10001,Percentage of persons aged 0 to 24 years,v16942758,3.13,29
2011,"St. John's, Newfoundland and Labrador",10001,Percentage of persons aged 25 to 44 years,v16942759,3.14,29
2012,"St. John's, Newfoundland and Labrador",10001,Percentage of persons aged 25 to 44 years,v16942759,3.14,29
2011,"St. John's, Newfoundland and Labrador",10001,Percentage of persons aged 45 to 64 years,v16942760,3.15,29
2012,"St. John's, Newfoundland and Labrador",10001,Percentage of persons aged 45 to 64 years,v16942760,3.15,29
2011,"St. John's, Newfoundland and Labrador",10001,Percentage of persons aged 65 years and over,v16942761,3.16,13
2012,"St. John's, Newfoundland and Labrador",10001,Percentage of persons aged 65 years and over,v16942761,3.16,14
2011,"St. John's, Newfoundland and Labrador",10001,Average age of persons (years),v16942762,3.17,39
2012,"St. John's, Newfoundland and Labrador",10001,Average age of persons (years),v16942762,3.17,39
2011,"St. John's, Newfoundland and Labrador",10001,"Percentage of persons, female",v16942763,3.18,52
2012,"St. John's, Newfoundland and Labrador",10001,"Percentage of persons, female",v16942763,3.18,52
2011,"St. John's, Newfoundland and Labrador",10001,"Percentage of persons, married",v16942764,3.19,40
2012,"St. John's, Newfoundland and Labrador",10001,"Percentage of persons, married",v16942764,3.19,40
2011,"St. John's, Newfoundland and Labrador",10001,Percentage of persons in apartments,v16942765,3.2,1
2012,"St. John's, Newfoundland and Labrador",10001,Percentage of persons in apartments,v16942765,3.2,1
2011,"St. John's, Newfoundland and Labrador",10001,Number of persons with total income,v16942766,3.21,150840
2012,"St. John's, Newfoundland and Labrador",10001,Number of persons with total income,v16942766,3.21,153000
2011,"St. John's, Newfoundland and Labrador",10001,"Percentage of persons with total income $15,000 and over",v16942767,3.22,79
2012,"St. John's, Newfoundland and Labrador",10001,"Percentage of persons with total income $15,000 and over",v16942767,3.22,80
2011,"St. John's, Newfoundland and Labrador",10001,"Percentage of persons with total income $25,000 and over",v16942768,3.23,61
2012,"St. John's, Newfoundland and Labrador",10001,"Percentage of persons with total income $25,000 and over",v16942768,3.23,63
2011,"St. John's, Newfoundland and Labrador",10001,"Percentage of persons with total income $35,000 and over",v16942769,3.24,48
2012,"St. John's, Newfoundland and Labrador",10001,"Percentage of persons with total income $35,000 and over",v16942769,3.24,50
2011,"St. John's, Newfoundland and Labrador",10001,"Percentage of persons with total income $50,000 and over",v16942770,3.25,31
2012,"St. John's, Newfoundland and Labrador",10001,"Percentage of persons with total income $50,000 and over",v16942770,3.25,33
2011,"St. John's, Newfoundland and Labrador",10001,"Percentage of persons with total income $75,000 and over",v16942771,3.26,15
2012,"St. John's, Newfoundland and Labrador",10001,"Percentage of persons with total income $75,000 and over",v16942771,3.26,17
2011,"St. John's, Newfoundland and Labrador",10001,"Percentage of persons with total income $100,000 and over",v16942772,3.27,7
2012,"St. John's, Newfoundland and Labrador",10001,"Percentage of persons with total income $100,000 and over",v16942772,3.27,8
2011,"St. John's, Newfoundland and Labrador",10001,"Median total income, males (dollars)",v16942773,3.28,40040
2012,"St. John's, Newfoundland and Labrador",10001,"Median total income, males (dollars)",v16942773,3.28,42630
2011,"St. John's, Newfoundland and Labrador",10001,"Median total income, females (dollars)",v16942774,3.29,28070
2012,"St. John's, Newfoundland and Labrador",10001,"Median total income, females (dollars)",v16942774,3.29,29190
2011,"St. John's, Newfoundland and Labrador",10001,"Median total income, both sexes (dollars)",v16942775,3.3,33420
2012,"St. John's, Newfoundland and Labrador",10001,"Median total income, both sexes (dollars)",v16942775,3.3,35210
2011,"St. John's, Newfoundland and Labrador",10001,Canadian index of median total income,v16942776,3.31,110.7
2012,"St. John's, Newfoundland and Labrador",10001,Canadian index of median total income,v16942776,3.31,112.4
